,Gender,ClassYear,NumEarlyClass,EarlyClass,GPA,ClassesMissed,PoorSleepQuality,Stress,Happiness,WeekdayBed,WeekdayRise,WeekdaySleep,WeekendBed,WeekendRise,WeekendSleep,AverageSleep,AllNighter
0,0,4,0,0,3.6,0,4,normal,28,25.75,8.7,7.7,25.75,9.5,5.88,7.18,0
1,0,4,2,1,3.24,0,6,normal,25,25.7,8.2,6.8,26.0,10.0,7.25,6.93,0
2,0,4,0,0,2.97,12,18,normal,17,27.44,6.55,3.0,28.0,12.59,10.09,5.02,0
3,0,1,5,1,3.76,0,9,normal,32,23.5,7.17,6.77,27.0,8.0,7.25,6.9,0
4,0,4,0,0,3.2,4,9,normal,15,25.9,8.67,6.09,23.75,9.5,7.0,6.35,0
5,1,4,0,0,3.5,0,6,high,22,23.8,8.95,9.05,26.0,10.75,9.0,9.04,0
6,1,2,2,1,3.35,2,2,normal,25,25.35,8.48,7.73,25.63,10.13,7.0,7.52,1
7,0,2,0,0,3.0,0,10,normal,29,23.9,9.07,9.02,25.13,9.75,9.0,9.01,0
8,0,1,2,1,4.0,0,5,high,29,24.4,8.75,8.25,24.0,9.0,9.25,8.54,0
9,0,4,2,1,2.9,0,2,high,30,26.2,8.0,6.6,25.38,10.25,6.88,6.68,0
10,1,2,1,1,3.7,0,11,normal,14,25.0,8.53,8.23,25.25,10.75,7.75,8.09,0
11,1,2,0,0,3.0,0,8,normal,24,25.3,9.8,8.4,26.5,10.75,8.5,8.43,0
12,0,1,4,1,3.3,0,3,high,21,25.92,7.97,6.34,26.29,11.25,8.25,6.89,0
13,1,3,2,1,3.3,6,7,normal,20,25.6,8.73,7.03,27.25,11.5,8.5,7.45,0
14,0,3,5,1,3.5,1,4,normal,28,22.9,6.9,8.4,22.25,9.5,10.25,8.93,0
15,0,3,0,0,3.4,0,4,normal,23,24.0,8.77,8.67,25.25,10.5,9.5,8.9,0
16,0,2,2,1,2.8,5,8,high,25,22.9,6.85,8.25,23.75,9.09,8.59,8.34,0
17,1,2,5,1,3.0,0,8,high,24,24.0,7.9,8.5,25.5,10.5,7.5,8.22,0
18,1,2,3,1,2.8,0,3,normal,30,25.77,9.52,8.55,25.25,11.25,8.0,8.39,1
19,1,3,3,1,2.8,20,15,normal,19,25.25,8.12,7.2,25.67,10.5,8.0,7.43,0
20,0,3,2,1,3.05,4,15,high,30,24.5,7.8,7.4,25.5,8.75,7.0,7.29,0
21,0,3,0,0,3.3,1,5,normal,34,25.0,9.65,8.45,26.0,10.38,8.88,8.57,0
22,0,3,2,1,2.9,1,4,normal,28,24.63,9.04,9.74,25.75,10.5,8.5,9.39,0
23,0,1,0,0,3.0,5,6,normal,27,24.6,9.2,9.3,23.75,11.75,10.25,9.57,0
24,0,2,2,1,3.2,0,3,normal,25,24.6,8.25,7.65,25.5,10.38,8.88,8.0,0
25,1,2,0,0,3.07,20,9,high,24,24.7,11.02,10.32,27.5,12.25,8.75,9.87,0
26,1,2,4,1,3.0,10,5,normal,28,24.4,7.95,8.45,24.0,11.75,9.5,8.75,0
27,0,4,2,1,2.9,0,8,high,17,24.4,8.6,8.4,25.5,11.0,9.0,8.57,0
